m_urn,age,gender,ethnicity,nationality,n_followers
urn:li:member:89770635,39,Female,White,celtic_english,669
urn:li:member:65386988,40,Male,Black,celtic_english,960
urn:li:member:26458505,61,Male,White,celtic_english,1140
urn:li:member:188089360,26,Male,White,south_asian,2974
urn:li:member:40906078,30,Male,White,european,708
urn:li:member:196276793,34,Female,Black,south_asian,0
urn:li:member:25975759,40,Male,White,european,817
urn:li:member:108339927,30,Female,Asian,east_asian,542
urn:li:member:53841100,40,Male,Black,muslim,549
urn:li:member:43996601,50,Male,Asian,east_asian,480
urn:li:member:125329104,28,Female,Asian,hispanic,706
urn:li:member:4845382,46,Male,White,european,428
urn:li:member:22710761,48,Male,White,european,426
urn:li:member:163277756,37,Male,White,european,403
urn:li:member:6113303,48,Male,White,muslim,3542
urn:li:member:51950068,55,Male,White,celtic_english,544
urn:li:member:130606,44,Male,White,celtic_english,1681
urn:li:member:17926432,49,Male,White,european,0
urn:li:member:2428017,39,Male,White,south_asian,709
urn:li:member:493851260,37,Male,White,celtic_english,36
urn:li:member:368045,40,Male,White,nordic,964
urn:li:member:273617445,28,Male,White,south_asian,2095
urn:li:member:1372059,47,Male,White,celtic_english,1031
urn:li:member:13235667,44,Female,White,european,1042
urn:li:member:13868015,9,Female,White,european,473
urn:li:member:78210009,47,Male,White,european,77
urn:li:member:2626922,66,Male,White,celtic_english,961
urn:li:member:14161254,58,Male,White,celtic_english,896
urn:li:member:4557037,64,Male,White,european,4800
urn:li:member:249651735,37,Female,White,european,676
urn:li:member:60374333,35,Male,Black,south_asian,750
urn:li:member:58007780,29,Female,Asian,east_asian,660
urn:li:member:20714429,54,Male,White,european,1278
urn:li:member:16543747,56,Male,White,celtic_english,982
urn:li:member:42146703,56,Male,Black,jewish,855
urn:li:member:161479315,47,Male,White,muslim,1137
urn:li:member:183022189,28,Male,Asian,east_asian,490
urn:li:member:578068994,53,Male,White,celtic_english,225
urn:li:member:15466364,51,Male,White,celtic_english,790
urn:li:member:6796112,60,Male,White,south_asian,700
urn:li:member:41905147,49,Male,White,muslim,1231
urn:li:member:10955231,26,Male,Asian,hispanic,878
urn:li:member:77613937,59,Male,White,celtic_english,136
urn:li:member:13268206,34,Male,White,muslim,1455
urn:li:member:112738764,50,Male,Asian,south_asian,954
urn:li:member:15365839,31,Male,White,celtic_english,1586
urn:li:member:142653537,41,Male,White,celtic_english,345
urn:li:member:2188945,51,Male,Asian,east_asian,1481
urn:li:member:2017554,68,Male,White,european,1165
urn:li:member:103477329,40,Male,White,celtic_english,101
urn:li:member:44704053,41,Male,Asian,muslim,671
urn:li:member:53273196,48,Male,Black,south_asian,1004
urn:li:member:14242807,36,Male,White,celtic_english,324
urn:li:member:51331763,50,Male,White,celtic_english,756
urn:li:member:272211122,50,Male,White,muslim,419
urn:li:member:94425939,42,Female,White,muslim,1193
urn:li:member:58372504,21,Male,Asian,east_asian,1217
urn:li:member:24741309,46,Male,White,celtic_english,589
urn:li:member:8135967,46,Male,White,hispanic,1031
urn:li:member:32316122,46,Male,White,nordic,1346
urn:li:member:124509610,43,Male,White,european,280
urn:li:member:166500070,40,Male,White,hispanic,171
urn:li:member:52731035,30,Male,Black,celtic_english,704
urn:li:member:1270493,53,Male,White,hispanic,1100
urn:li:member:215953215,29,Male,White,south_asian,938
urn:li:member:111707579,34,Female,White,celtic_english,1232
urn:li:member:7182912,53,Male,White,european,305
urn:li:member:10868250,28,Male,Asian,east_asian,576
urn:li:member:13202801,25,Male,White,south_asian,1996
urn:li:member:141355924,26,Female,White,nordic,1142
urn:li:member:18170740,35,Male,Asian,east_asian,547
urn:li:member:61450602,47,Male,White,european,841
urn:li:member:170931673,38,Male,White,hispanic,22
urn:li:member:26429669,53,Male,White,celtic_english,391
urn:li:member:3592566,47,Female,White,hispanic,910
urn:li:member:17812447,38,Female,White,celtic_english,1603
urn:li:member:123070783,35,Female,White,celtic_english,847
urn:li:member:46285169,47,Male,White,celtic_english,2130
urn:li:member:10018969,25,Female,Asian,east_asian,584
urn:li:member:13375182,39,Male,Asian,celtic_english,443
urn:li:member:13154305,66,Male,White,celtic_english,1566
urn:li:member:208187200,24,Male,Asian,east_asian,390
urn:li:member:12171527,45,Male,White,celtic_english,977
urn:li:member:48511770,41,Male,Asian,hispanic,497
urn:li:member:10430442,45,Male,Black,south_asian,827
urn:li:member:100238291,27,Female,Asian,hispanic,368
urn:li:member:4105075,55,Male,White,celtic_english,533
urn:li:member:14623073,51,Male,White,nordic,1087
urn:li:member:17564206,42,Male,White,celtic_english,328
urn:li:member:25339857,43,Female,White,south_asian,538
urn:li:member:11380202,42,Male,White,south_asian,708
urn:li:member:246833900,29,Male,White,european,3622
urn:li:member:59074255,28,Male,Asian,east_asian,979
urn:li:member:5827891,59,Male,Asian,muslim,4702
urn:li:member:74653124,21,Male,Asian,east_asian,524
urn:li:member:59674392,44,Female,White,hispanic,1986
urn:li:member:18782433,51,Male,White,celtic_english,247
urn:li:member:265968783,43,Male,Black,muslim,597
urn:li:member:3049660,67,Male,White,celtic_english,1003
urn:li:member:32671672,55,Female,White,celtic_english,0
urn:li:member:124203940,39,Male,White,european,1766
urn:li:member:84238641,48,Male,White,muslim,1794
urn:li:member:7429403,54,Male,White,celtic_english,656
urn:li:member:5071710,45,Male,White,celtic_english,2000
